gene1,gene2,pathway1,pathway2,pathway_combo,direction,auc_sign_inv,auprc
EPAS1,TOP2A,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.7255601117252035,0.31678492204735026
CDK1,EPAS1,Proliferation,HIF_axis,"('HIF_axis', 'Proliferation')",+,0.7128424555773458,0.30326993018429865
EPAS1,MKI67,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.7076127651987876,0.31332039973015063
PGK1,TOP2A,other,Proliferation,"('Proliferation', 'other')",-,0.7022642182207167,0.30206042542892797
CCNB1,EPAS1,Proliferation,HIF_axis,"('HIF_axis', 'Proliferation')",+,0.7020562191715695,0.29182139069507806
PDK1,TOP2A,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.6981933796874071,0.31532413701767154
CXCR4,EPAS1,EMT_metastasis,HIF_axis,"('EMT_metastasis', 'HIF_axis')",+,0.6949248232008082,0.2544827197137995
MCM2,TOP2A,Proliferation,Proliferation,"('Proliferation', 'Proliferation')",-,0.6944493968027574,0.29346133826807996
PFKP,TOP2A,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.6883877102276104,0.27451848006772356
CCNB1,PFKP,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6857431508884531,0.2525363364851703
CDK1,PGK1,Proliferation,other,"('Proliferation', 'other')",+,0.6845842990432044,0.2893253279516186
CDK1,SLC22A8,Proliferation,Tubule_normal,"('Proliferation', 'Tubule_normal')",+,0.6832174481488086,0.30018515567853415
EPAS1,PCNA,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.6824745944018542,0.2707087551569073
ACTB,EPAS1,Housekeeping,HIF_axis,"('HIF_axis', 'Housekeeping')",+,0.6824448802519761,0.26643680231547556
CDK1,PFKP,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6824151661020978,0.25892925264332933
CCNB1,PGK1,Proliferation,other,"('Proliferation', 'other')",+,0.6820883104534379,0.286399335684838
CDK1,PDK1,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6816723123551435,0.29061458817848573
