gene1,gene2,pathway1,pathway2,pathway_combo,direction,auc_sign_inv,auprc
SLC22A8,TOP2A,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6816425982052654,0.30712249947504855
MKI67,SLC22A8,Proliferation,Tubule_normal,"('Proliferation', 'Tubule_normal')",+,0.6781066143697629,0.29754041607342047
EPAS1,RPL13A,HIF_axis,Housekeeping,"('HIF_axis', 'Housekeeping')",-,0.6773340464729304,0.24787046758645423
MKI67,PDK1,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6766506210257325,0.2997781803740133
BHLHE40,TOP2A,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.6751351993819457,0.28406631588477427
MKI67,PGK1,Proliferation,other,"('Proliferation', 'other')",+,0.6743032031853569,0.29824122954716764
COL4A2,EPAS1,EMT_metastasis,HIF_axis,"('EMT_metastasis', 'HIF_axis')",+,0.6737386343376716,0.2719198956402144
CCNB1,PDK1,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6728472098413264,0.2662898567897796
CDK1,PKM,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6702917929518036,0.2688258898569184
MKI67,PFKP,Proliferation,Warburg,"('Proliferation', 'Warburg')",+,0.6692517977060677,0.26872492720604313
PKM,TOP2A,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.6686575147085042,0.2654474199160559
EPAS1,LDHA,HIF_axis,Warburg,"('HIF_axis', 'Warburg')",-,0.6686575147085042,0.2736519277925773
CDK1,PCNA,Proliferation,Proliferation,"('Proliferation', 'Proliferation')",+,0.667766090212159,0.2729567589158445
MCM2,MKI67,Proliferation,Proliferation,"('Proliferation', 'Proliferation')",-,0.6675283770131336,0.26518844449030077
ALDOA,TOP2A,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.6654781006715398,0.26800150850386456
ALDOA,CDK1,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.664972960123611,0.2615122230087624
DDIT4,EPAS1,HIF_axis,HIF_axis,"('HIF_axis', 'HIF_axis')",+,0.6649432459737328,0.2417923646555179
ALDOA,CCNB1,Warburg,Proliferation,"('Proliferation', 'Warburg')",-,0.6649135318238545,0.2606888703361012
EPAS1,GAPDH,HIF_axis,Housekeeping,"('HIF_axis', 'Housekeeping')",-,0.6642598205265348,0.24738593906796563
BHLHE40,CDK1,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.6629821120817734,0.25530095085541143
CUBN,TOP2A,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6628632554822607,0.26291601140981724
PCNA,TOP2A,Proliferation,Proliferation,"('Proliferation', 'Proliferation')",-,0.6622986866345755,0.2819044047548213
ALB,TOP2A,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6614072621382302,0.29867055244067187
EPAS1,LDHB,HIF_axis,Warburg,"('HIF_axis', 'Warburg')",-,0.6606049800915197,0.24254594611085142
COL4A2,TOP2A,EMT_metastasis,Proliferation,"('EMT_metastasis', 'Proliferation')",-,0.6603078385927379,0.24387991445660578
LRP2,TOP2A,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6600106970939561,0.2753596249935411
BHLHE40,MKI67,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.6597135555951744,0.2879064842435588
AGXT,TOP2A,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6597135555951744,0.3045471766806355
AGXT,CDK1,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6596541272954181,0.29622890511182365
CCNB1,SLC22A8,Proliferation,Tubule_normal,"('Proliferation', 'Tubule_normal')",+,0.6594758423961491,0.28352462394488687
CALB1,CDK1,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.658940987698342,0.2904544428951997
BHLHE40,CCNB1,HIF_axis,Proliferation,"('HIF_axis', 'Proliferation')",-,0.6586735603494384,0.2472704496012188
ALB,MKI67,Tubule_normal,Proliferation,"('Proliferation', 'Tubule_normal')",-,0.6581089915017531,0.3004957533916065
